SampleID,N_predicted
CLY24.C8BC.1_VT_e0_p1,3.582828892
CLY24.C8BC.1_VT_e1_p1,3.288126761
CLY24.C8BC.1_VT_e2_p1,3.625695426
CLY24.C8BC.1_VT_e3_p1,3.396401086
CLY24.C8BC.10_VT_e0_p1,3.198097178
CLY24.C8BC.10_VT_e1_p1,2.66749215
CLY24.C8BC.10_VT_e2_p1,2.712838886
CLY24.C8BC.10_VT_e3_p1,3.009636937
CLY24.C8BC.13_VT_e0_p1,2.842276312
CLY24.C8BC.13_VT_e1_p1,3.096646118
CLY24.C8BC.13_VT_e2_p1,2.997038234
CLY24.C8BC.13_VT_e3_p1,2.662394387
CLY24.C8BC.18_VT_e0_p1,3.152025859
CLY24.C8BC.18_VT_e1_p1,3.617516071
CLY24.C8BC.18_VT_e2_p1,3.657557194
CLY24.C8BC.18_VT_e3_p1,3.091431969
CLY24.C8BC.21_VT_e0_p1,3.019246644
CLY24.C8BC.21_VT_e1_p1,3.220576166
CLY24.C8BC.21_VT_e2_p1,3.289807062
CLY24.C8BC.21_VT_e3_p1,3.283500586
CLY24.C8BC.24_VT_e0_p1,3.410641977
CLY24.C8BC.24_VT_e1_p1,3.54148281
CLY24.C8BC.24_VT_e2_p1,3.842179539
CLY24.C8BC.24_VT_e3_p1,3.632193823
CLY24.C8BC.27_VT_e0_p1,3.855935296
CLY24.C8BC.27_VT_e1_p1,2.781745069
CLY24.C8BC.27_VT_e2_p1,3.526507567
CLY24.C8BC.27_VT_e3_p1,3.607443423
CLY24.C8BC.30_VT_e0_p1,3.554541501
CLY24.C8BC.30_VT_e1_p1,3.342267985
CLY24.C8BC.30_VT_e2_p1,3.304969542
CLY24.C8BC.30_VT_e3_p1,3.137416503
CLY24.C8BC.301_VT_e0_p1,3.937027711
CLY24.C8BC.301_VT_e1_p1,4.334515924
CLY24.C8BC.301_VT_e2_p1,4.791105552
CLY24.C8BC.301_VT_e3_p1,4.004997912
CLY24.C8BC.304_VT_e0_p1,4.56871235
CLY24.C8BC.304_VT_e1_p1,4.180096638
CLY24.C8BC.304_VT_e2_p1,4.475420381
CLY24.C8BC.304_VT_e3_p1,4.239197563
CLY24.C8BC.307_VT_e0_p1,3.919469121
CLY24.C8BC.307_VT_e1_p1,4.076639971
CLY24.C8BC.307_VT_e2_p1,3.949648076
CLY24.C8BC.307_VT_e3_p1,3.700877201
CLY24.C8BC.31_VT_e1_p1,4.145775915
CLY24.C8BC.31_VT_e2_p1,4.104155269
CLY24.C8BC.31_VT_e3_p1,3.692406626
CLY24.C8BC.310_VT_e0_p1,4.225063435
CLY24.C8BC.310_VT_e1_p1,3.796940224
CLY24.C8BC.310_VT_e2_p1,4.618058972
CLY24.C8BC.310_VT_e3_p1,4.024476685
CLY24.C8BC.313_VT_e0_p1,3.918383559
CLY24.C8BC.313_VT_e1_p1,3.607420335
CLY24.C8BC.313_VT_e2_p1,3.773061432
CLY24.C8BC.313_VT_e3_p1,4.300466774
CLY24.C8BC.318_VT_e0_p1,4.011687667
CLY24.C8BC.318_VT_e1_p1,3.78070221
CLY24.C8BC.318_VT_e2_p1,4.31222815
CLY24.C8BC.318_VT_e3_p1,3.771666112
CLY24.C8BC.321_VT_e0_p1,4.081142435
CLY24.C8BC.321_VT_e1_p1,4.108515471
CLY24.C8BC.321_VT_e2_p1,3.954717485
CLY24.C8BC.321_VT_e3_p1,4.194874648
CLY24.C8BC.324_VT_e0_p1,4.029706385
CLY24.C8BC.324_VT_e1_p1,3.893942423
CLY24.C8BC.324_VT_e2_p1,4.229968471
CLY24.C8BC.324_VT_e3_p1,4.020229379
CLY24.C8BC.327_VT_e0_p1,3.856517751
CLY24.C8BC.327_VT_e1_p1,4.065725427
CLY24.C8BC.327_VT_e2_p1,4.349315197
CLY24.C8BC.327_VT_e3_p1,3.887141763
CLY24.C8BC.330_VT_e0_p1,3.878644552
CLY24.C8BC.330_VT_e1_p1,3.726980905
CLY24.C8BC.330_VT_e2_p1,4.007068567
CLY24.C8BC.330_VT_e3_p1,3.713263669
CLY24.C8BC.331_VT_e0_p1,4.09988275
CLY24.C8BC.331_VT_e1_p1,4.379284917
CLY24.C8BC.331_VT_e2_p1,4.451713204
CLY24.C8BC.331_VT_e3_p1,3.794258641
CLY24.C8BC.334_VT_e0_p1,4.263640768
CLY24.C8BC.334_VT_e1_p1,4.128984815
CLY24.C8BC.334_VT_e2_p1,4.425121452
CLY24.C8BC.334_VT_e3_p1,3.879649297
CLY24.C8BC.337_VT_e0_p1,4.06934564
CLY24.C8BC.337_VT_e1_p1,3.926460761
CLY24.C8BC.337_VT_e2_p1,4.319694333
CLY24.C8BC.337_VT_e3_p1,3.840449294
CLY24.C8BC.340_VT_e0_p1,3.983359424
CLY24.C8BC.340_VT_e1_p1,4.332826616
CLY24.C8BC.340_VT_e2_p1,4.436823445
CLY24.C8BC.340_VT_e3_p1,3.903436383
CLY24.C8BC.343_VT_e0_p1,4.053901611
CLY24.C8BC.343_VT_e1_p1,3.437277675
CLY24.C8BC.343_VT_e2_p1,3.623424527
CLY24.C8BC.343_VT_e3_p1,3.847772332
CLY24.C8BC.346_VT_e0_p1,4.426486242
CLY24.C8BC.346_VT_e1_p1,4.217062132
CLY24.C8BC.346_VT_e2_p1,4.487667019
CLY24.C8BC.346_VT_e3_p1,4.327262948
CLY24.C8BC.351_VT_e0_p1,4.086548996
CLY24.C8BC.351_VT_e1_p1,4.028694871
CLY24.C8BC.351_VT_e2_p1,4.435599093
CLY24.C8BC.351_VT_e3_p1,4.241551611
CLY24.C8BC.354_VT_e0_p1,3.790044649
CLY24.C8BC.354_VT_e1_p1,3.558031264
CLY24.C8BC.354_VT_e2_p1,4.183604059
CLY24.C8BC.354_VT_e3_p1,4.113485844
CLY24.C8BC.357_VT_e0_p1,4.352029822
CLY24.C8BC.357_VT_e1_p1,4.192860816
CLY24.C8BC.357_VT_e2_p1,4.328300218
CLY24.C8BC.357_VT_e3_p1,4.026895782
CLY24.C8BC.360_VT_e0_p1,4.135369189
CLY24.C8BC.360_VT_e1_p1,3.415715875
CLY24.C8BC.360_VT_e2_p1,4.087672641
CLY24.C8BC.360_VT_e3_p1,3.903972363
CLY24.C8BC.361_VT_e0_p1,4.318385367
CLY24.C8BC.361_VT_e1_p1,4.512442144
CLY24.C8BC.361_VT_e2_p1,4.207178167
CLY24.C8BC.361_VT_e3_p1,3.899124537
CLY24.C8BC.364_VT_e0_p1,3.960890869
CLY24.C8BC.364_VT_e1_p1,4.268482805
CLY24.C8BC.364_VT_e2_p1,4.023655329
CLY24.C8BC.364_VT_e3_p1,3.906009416
CLY24.C8BC.367_VT_e0_p1,3.843965711
CLY24.C8BC.367_VT_e1_p1,4.05268336
CLY24.C8BC.367_VT_e2_p1,3.757152788
CLY24.C8BC.367_VT_e3_p1,4.528450041
CLY24.C8BC.370_VT_e0_p1,4.055019918
CLY24.C8BC.370_VT_e1_p1,3.597447723
CLY24.C8BC.370_VT_e2_p1,4.100531835
CLY24.C8BC.370_VT_e3_p1,3.903704133
CLY24.C8BC.373_VT_e0_p1,3.915217873
CLY24.C8BC.373_VT_e1_p1,3.96416702
CLY24.C8BC.373_VT_e2_p1,3.69907592
CLY24.C8BC.373_VT_e3_p1,4.107955578
CLY24.C8BC.4_VT_e0_p1,3.21788495
CLY24.C8BC.4_VT_e1_p1,3.409759719
CLY24.C8BC.4_VT_e2_p1,3.890758828
CLY24.C8BC.4_VT_e3_p1,3.42584282
CLY24.C8BC.40_VT_e0_p1,3.496208954
CLY24.C8BC.43_VT_e0_p1,3.704208454
CLY24.C8BC.43_VT_e1_p1,3.876267265
CLY24.C8BC.43_VT_e2_p1,3.755215079
CLY24.C8BC.43_VT_e3_p1,3.805656672
CLY24.C8BC.48_VT_e0_p1,3.748793527
CLY24.C8BC.48_VT_e1_p1,3.558599784
CLY24.C8BC.48_VT_e2_p1,3.746140248
CLY24.C8BC.48_VT_e3_p1,3.513937907
CLY24.C8BC.51_VT_e0_p1,3.806115741
CLY24.C8BC.51_VT_e1_p1,3.636958519
CLY24.C8BC.51_VT_e2_p1,3.792483116
CLY24.C8BC.54_VT_e0_p1,3.34648276
CLY24.C8BC.54_VT_e1_p1,3.030819748
CLY24.C8BC.54_VT_e2_p1,3.839357738
CLY24.C8BC.54_VT_e3_p1,3.974995362
CLY24.C8BC.57_VT_e1_p1,3.279504049
CLY24.C8BC.57_VT_e3_p1,3.996612651
CLY24.C8BC.60_VT_e0_p1,3.873744836
CLY24.C8BC.60_VT_e1_p1,3.494151292
CLY24.C8BC.60_VT_e2_p1,4.019594671
CLY24.C8BC.60_VT_e3_p1,3.637499879
CLY24.C8BC.61_VT_e0_p1,4.164888941
CLY24.C8BC.61_VT_e1_p1,4.088642827
CLY24.C8BC.61_VT_e2_p1,3.844775162
CLY24.C8BC.61_VT_e3_p1,3.896940706
CLY24.C8BC.64_VT_e0_p1,3.400648908
CLY24.C8BC.64_VT_e1_p1,3.176998358
CLY24.C8BC.64_VT_e2_p1,3.797071726
CLY24.C8BC.67_VT_e0_p1,2.800886633
CLY24.C8BC.67_VT_e1_p1,2.747717333
CLY24.C8BC.67_VT_e2_p1,2.783016878
CLY24.C8BC.67_VT_e3_p1,2.623567519
CLY24.C8BC.7_VT_e1_p1,2.71136239
CLY24.C8BC.7_VT_e2_p1,3.523496902
CLY24.C8BC.7_VT_e3_p1,3.822138161
CLY24.C8BC.70_VT_e1_p1,3.361886014
CLY24.C8BC.70_VT_e2_p1,3.604416108
CLY24.C8BC.70_VT_e3_p1,3.766195487
CLY24.C8BC.73_VT_e0_p1,3.714691209
CLY24.C8BC.73_VT_e1_p1,3.271604034
CLY24.C8BC.73_VT_e2_p1,4.014921428
CLY24.C8BC.73_VT_e3_p1,4.205256999
CLY24.C8BC.1_v13_l10_p1,4.369328369
CLY24.C8BC.1_v13_l13_p1,4.011768656
CLY24.C8BC.1_v13_l7_p1,4.630183681
CLY24.C8BC.10_v13_l10_p1,4.199214397
CLY24.C8BC.10_v13_l13_p1,3.479716899
CLY24.C8BC.10_v13_l7_p1,3.496561238
CLY24.C8BC.13_v13_l10_p1,4.11196748
CLY24.C8BC.13_v13_l13_p1,3.596146369
CLY24.C8BC.13_v13_l7_p1,3.784992198
CLY24.C8BC.18_v13_l10_p1,4.399626996
CLY24.C8BC.18_v13_l13_p1,3.973089952
CLY24.C8BC.18_v13_l7_p1,3.893094398
CLY24.C8BC.21_v13_l10_p1,4.76006631
CLY24.C8BC.21_v13_l13_p1,4.517391045
CLY24.C8BC.21_v13_l7_p1,4.406897068
CLY24.C8BC.24_v13_l10_p1,3.626961504
CLY24.C8BC.24_v13_l13_p1,3.665998571
CLY24.C8BC.24_v13_l7_p1,4.282274574
CLY24.C8BC.27_v13_l10_p1,4.406088559
CLY24.C8BC.27_v13_l13_p1,3.959617185
CLY24.C8BC.27_v13_l7_p1,4.456153407
CLY24.C8BC.30_v13_l10_p1,4.312692781
CLY24.C8BC.30_v13_l13_p1,4.337460304
CLY24.C8BC.30_v13_l7_p1,4.179170496
CLY24.C8BC.301_v13_l10_p1,3.931654088
CLY24.C8BC.301_v13_l13_p1,3.921438487
CLY24.C8BC.301_v13_l7_p1,3.0580613
CLY24.C8BC.304_v13_l10_p1,4.864625397
CLY24.C8BC.304_v13_l13_p1,4.433024592
CLY24.C8BC.304_v13_l7_p1,4.802377398
CLY24.C8BC.307_v13_l10_p1,3.547123454
CLY24.C8BC.307_v13_l13_p1,3.82995364
CLY24.C8BC.307_v13_l7_p1,5.044734187
CLY24.C8BC.31_v13_l10_p1,4.292719451
CLY24.C8BC.31_v13_l13_p1,4.183721287
CLY24.C8BC.31_v13_l7_p1,4.544079337
CLY24.C8BC.310_v13_l10_p1,4.389122688
CLY24.C8BC.310_v13_l13_p1,4.186738955
CLY24.C8BC.310_v13_l7_p1,4.453890945
CLY24.C8BC.313_v13_l10_p1,3.756868807
CLY24.C8BC.313_v13_l13_p1,3.821525639
CLY24.C8BC.313_v13_l7_p1,4.030171247
CLY24.C8BC.318_v13_l10_p1,4.105201966
CLY24.C8BC.318_v13_l13_p1,4.092565401
CLY24.C8BC.318_v13_l7_p1,3.30685653
CLY24.C8BC.321_v13_l10_p1,4.131174371
CLY24.C8BC.321_v13_l13_p1,3.884627252
CLY24.C8BC.321_v13_l7_p1,4.154238662
CLY24.C8BC.331_v13_l10_p1,4.438142032
CLY24.C8BC.331_v13_l13_p1,3.961623744
CLY24.C8BC.331_v13_l7_p1,4.795037812
CLY24.C8BC.334_v13_l10_p1,4.338012798
CLY24.C8BC.334_v13_l13_p1,3.878300833
CLY24.C8BC.334_v13_l7_p1,4.406320244
CLY24.C8BC.337_v13_l10_p1,4.024412286
CLY24.C8BC.337_v13_l13_p1,4.132395888
CLY24.C8BC.337_v13_l7_p1,3.793438296
CLY24.C8BC.34_v13_l10_p1,4.553833034
CLY24.C8BC.34_v13_l13_p1,4.183859589
CLY24.C8BC.34_v13_l7_p1,4.813811539
CLY24.C8BC.348_v13_l10_p1,4.396285176
CLY24.C8BC.348_v13_l13_p1,4.201923459
CLY24.C8BC.348_v13_l7_p1,4.613795603
CLY24.C8BC.351_v13_l10_p1,4.455754239
CLY24.C8BC.351_v13_l13_p1,4.170056729
CLY24.C8BC.351_v13_l7_p1,3.716116082
CLY24.C8BC.354_v13_l10_p1,4.301336546
CLY24.C8BC.354_v13_l13_p1,3.961282414
CLY24.C8BC.354_v13_l7_p1,4.185848518
CLY24.C8BC.357_v13_l10_p1,4.361033431
CLY24.C8BC.357_v13_l13_p1,4.724560189
CLY24.C8BC.357_v13_l7_p1,4.538307478
CLY24.C8BC.360_v13_l10_p1,3.933605988
CLY24.C8BC.360_v13_l13_p1,4.113200245
CLY24.C8BC.360_v13_l7_p1,3.569763185
CLY24.C8BC.361_v13_l10_p1,3.94842786
CLY24.C8BC.361_v13_l13_p1,4.083481589
CLY24.C8BC.361_v13_l7_p1,4.344970347
CLY24.C8BC.363_v13_l10_p1,4.485604959
CLY24.C8BC.363_v13_l13_p1,4.131678975
CLY24.C8BC.363_v13_l7_p1,4.414271768
CLY24.C8BC.364_v13_l10_p1,4.397233343
CLY24.C8BC.364_v13_l13_p1,3.734134736
CLY24.C8BC.364_v13_l7_p1,3.827685586
CLY24.C8BC.37_v13_l10_p1,4.392777075
CLY24.C8BC.37_v13_l13_p1,4.145938487
CLY24.C8BC.37_v13_l7_p1,4.513996284
CLY24.C8BC.4_v13_l10_p1,4.742520636
CLY24.C8BC.4_v13_l13_p1,4.207829783
CLY24.C8BC.4_v13_l7_p1,4.436830896
CLY24.C8BC.40_v13_l10_p1,10.39639723
CLY24.C8BC.40_v13_l13_p1,8.9837024
CLY24.C8BC.40_v13_l7_p1,8.321839889
CLY24.C8BC.43_v13_l10_p1,4.40148381
CLY24.C8BC.43_v13_l13_p1,4.087970036
CLY24.C8BC.43_v13_l7_p1,4.126454571
CLY24.C8BC.48_v13_l10_p1,4.422920556
CLY24.C8BC.48_v13_l13_p1,4.242929162
CLY24.C8BC.48_v13_l7_p1,4.178390507
CLY24.C8BC.51_v13_l10_p1,4.393330784
CLY24.C8BC.51_v13_l13_p1,4.398783291
CLY24.C8BC.51_v13_l7_p1,4.379358287
CLY24.C8BC.54_v13_l10_p1,4.55216433
CLY24.C8BC.54_v13_l13_p1,4.00444426
CLY24.C8BC.54_v13_l7_p1,4.724325023
CLY24.C8BC.57_v13_l10_p1,4.7562214
CLY24.C8BC.57_v13_l13_p1,4.305693934
CLY24.C8BC.57_v13_l7_p1,3.868579752
CLY24.C8BC.60_v13_l10_p1,4.074802256
CLY24.C8BC.60_v13_l13_p1,3.449344024
CLY24.C8BC.60_v13_l7_p1,2.883013369
CLY24.C8BC.61_v13_l10_p1,4.369800308
CLY24.C8BC.61_v13_l13_p1,3.844483549
CLY24.C8BC.61_v13_l7_p1,3.982918979
CLY24.C8BC.64_v13_l10_p1,4.011882254
CLY24.C8BC.64_v13_l13_p1,3.887359916
CLY24.C8BC.64_v13_l7_p1,4.216068817
CLY24.C8BC.67_v13_l10_p1,4.598221322
CLY24.C8BC.67_v13_l13_p1,4.077547976
CLY24.C8BC.67_v13_l7_p1,3.988965633
CLY24.C8BC.7_v13_l10_p1,4.139215445
CLY24.C8BC.7_v13_l13_p1,4.025815309
CLY24.C8BC.7_v13_l7_p1,4.335186446
CLY24.C8BC.70_v13_l10_p1,4.442047496
CLY24.C8BC.70_v13_l13_p1,4.027242405
CLY24.C8BC.70_v13_l7_p1,3.632623156
CLY24.C8BC.73_v13_l10_p1,4.309608671
CLY24.C8BC.73_v13_l13_p1,3.971593424
CLY24.C8BC.73_v13_l7_p1,4.044122232
CLY24.C8BC.76_v13_l10_p1,4.469663415
CLY24.C8BC.76_v13_l13_p1,3.693314553
CLY24.C8BC.76_v13_l7_p1,4.253433158
CLY24.C8BC.79_v13_l10_p1,4.446712628
CLY24.C8BC.79_v13_l13_p1,3.655207671
CLY24.C8BC.79_v13_l7_p1,4.31485365
CLY24.C8BC.82_v13_l10_p1,4.627224925
CLY24.C8BC.82_v13_l13_p1,4.503189555
CLY24.C8BC.82_v13_l7_p1,4.225238216
CLY24.C8BC.85_v13_l10_p1,4.628291343
CLY24.C8BC.85_v13_l13_p1,4.537830579
CLY24.C8BC.85_v13_l7_p1,4.665599644
CLY24.C8BC.88_v13_l10_p1,4.044479402
CLY24.C8BC.88_v13_l13_p1,4.182609838
CLY24.C8BC.88_v13_l7_p1,4.336896285
CLY24.C8BC.1_R2_e1_p1,2.95129173
CLY24.C8BC.1_R2_e2_p1,2.976800229
CLY24.C8BC.1_R2_e3_p1,2.383306527
CLY24.C8BC.1_R2_e4_p1,3.465201691
CLY24.C8BC.10_R2_e1_p1,2.043895823
CLY24.C8BC.10_R2_e2_p1,1.987610791
CLY24.C8BC.10_R2_e3_p1,1.806953826
CLY24.C8BC.10_R2_e4_p1,2.290435072
CLY24.C8BC.13_R2_e1_p1,2.723893964
CLY24.C8BC.13_R2_e2_p1,2.526013972
CLY24.C8BC.13_R2_e3_p1,2.405182594
CLY24.C8BC.13_R2_e4_p1,2.569422947
CLY24.C8BC.18_R2_e1_p1,3.108757721
CLY24.C8BC.18_R2_e2_p1,3.257027759
CLY24.C8BC.18_R2_e3_p1,2.792288666
CLY24.C8BC.18_R2_e4_p1,2.781778341
CLY24.C8BC.21_R2_e1_p1,3.127099798
CLY24.C8BC.21_R2_e2_p1,2.384953678
CLY24.C8BC.21_R2_e3_p1,2.299438016
CLY24.C8BC.21_R2_e4_p1,2.993975328
CLY24.C8BC.24_R2_e1_p1,2.539871399
CLY24.C8BC.24_R2_e2_p1,2.953130661
CLY24.C8BC.24_R2_e3_p1,3.167217453
CLY24.C8BC.24_R2_e4_p1,3.420643365
CLY24.C8BC.27_R2_e1_p1,2.735419509
CLY24.C8BC.27_R2_e2_p1,3.484441019
CLY24.C8BC.27_R2_e3_p1,3.118279049
CLY24.C8BC.27_R2_e4_p1,2.982278076
CLY24.C8BC.30_R2_e1_p1,3.073185253
CLY24.C8BC.30_R2_e2_p1,3.741626729
CLY24.C8BC.30_R2_e3_p1,3.430577426
CLY24.C8BC.30_R2_e4_p1,3.655393917
CLY24.C8BC.301_R2_e1_p1,3.186445046
CLY24.C8BC.301_R2_e2_p1,3.375949247
CLY24.C8BC.301_R2_e4_p1,3.593637068
