"old_genotype","leaf","mean_predicted_N","condition","stage","N_condition","count_condition"
"Zdip-CIM10003_P2_P1_P1.1.1.1","e1, e2, e3","3.29815333404733, 3.6855387316423, 3.04251067506781","e3_lowest_med_R4","R4_med","med",1
"Zdip-CIM10003_P2_P1_P2.1.1.1","e1, e2, e3","2.56790091611433, 2.5771063016139, 1.93363677180893","e3_lowest_med_R4","R4_med","med",1
"Zdip-CIM10003_P2_P2_P1.2.1.1","e1, e2, e3","2.5057684447902, 2.78987784804721, 3.62411846056571","e3_highest_med_R4","R4_med","med",1
"Zdip-CIM10003_P2_P2_P2.1.1.1","e1, e2, e3","3.17280130050256, 3.03691615056511, 2.61777612738238","e3_lowest_med_R4","R4_med","med",1
"Zdip-CIM10003_P2_P3_P1.2.1.1","e1, e2, e3","2.86310377317344, 3.01383525466108, 2.24020241989487","e3_lowest_med_R1","R1_med","med",1
"Zdip-CIM10003_P2_P3_P2.1.1.1","e1, e2, e3","3.39004476714129, 3.46705874466589, 4.57987421688518, 1.65851988003956, 1.78560549774242, -0.65439784947405, 4.11615482360071, 4.50243423340132, 3.79507603872362","e3_highest_med_VT, all_below_CI_med_R4, e3_lowest_med_R4, e3_lowest_high_VT","VT_med, R4_med, VT_high","med, high",4
"Zdip-CIM10003_P2_P3_P3.1.1.1","e1, e2, e3","2.59999708800855, 2.88749844177205, 3.62078973058397, 4.29861894846228, 4.37011561063859, 4.66297184663192","e3_highest_med_R4, all_above_CI_high_R1","R4_med, R1_high","med, high",2
"Zdip-CIM10003_P2_P3_P4.1.1.1","e1, e2, e3","2.65313444694961, 3.10221490929315, 2.8101399949249, 4.56051943571929, 4.62481745457683, 4.38355887392373","all_below_CI_med_VT, all_above_CI_high_R1","VT_med, R1_high","med, high",2
"Zdip-CIM10003_P2_P4_P1.2.1.1","e1, e2, e3","2.02973003611149, 2.09611749228351, 3.18413281931107","e3_highest_med_R4","R4_med","med",1
"Zdip-CIM10003_P2_P4_P2.1.1.1","e1, e2, e3","2.88579046421098, 2.90709321658911, 2.03644519695004, 2.60960053359915, 2.86185854737761, 4.19765337904854, 4.5187692479959, 4.26162260281563, 4.47061339066848","e3_lowest_med_R1, e3_highest_med_R4, all_above_CI_high_R1","R1_med, R4_med, R1_high","med, high",3
"Zdip-CIM10003_P2_P4_P3.2.1.1","e1, e2, e3","3.91191463778663, 3.87239664031894, 4.06846224811336","all_above_CI_med_R4","R4_med","med",1
"Zdip-CIM10003_P2_P5_P1.2.1.1","e1, e2, e3","2.20470743445103, 2.56459412030942, 3.16298724807794, 4.19426950375744, 4.41258056811347, 4.54411611838975","e3_highest_med_R4, all_above_CI_high_R1","R4_med, R1_high","med, high",2
"Zdip-CIM10003_P2_P5_P2.1.1.1","e1, e2, e3","3.56824105567506, 3.9201310545585, 4.15185497535533, 3.84663472866773, 3.9524933564165, 3.35621647552663","all_above_CI_med_VT, all_above_CI_med_R4, e3_lowest_med_R4","VT_med, R4_med","med",3
"Zdip-CIM10003_P2_P5_P4.1.1.1","e1, e2, e3","4.25529739339547, 4.43538735184343, 4.3606255953691","all_above_CI_high_R1","R1_high","high",1
"Zdip-CIM10003_P3_P1_P1.1.1.1","e1, e2, e3","0.822221042975745, 0.83039074314803, 3.07832840366753, 4.5764749754602, 4.35111973644269, 4.73048560976945","e3_highest_med_R4, all_above_CI_high_R1","R4_med, R1_high","med, high",2
"Zdip-CIM10003_P3_P2_P3.1.1.1","e1, e2, e3","4.57966361640688, 4.6064372222997, 4.58769836379813","all_above_CI_high_R1","R1_high","high",1
"Zdip-CIM10003_P3_P2_P4.1.1.1","e1, e2, e3","4.60628416490666, 4.64484358911465, 4.92324335992318","all_above_CI_high_R1","R1_high","high",1
"Zdip-CIM10003_P3_P3_P2.1.1.1","e1, e2, e3","3.82998164906668, 3.50242038002848, 4.40670898025373","e3_highest_high_R4","R4_high","high",1
"Zdip-CIM10003_P3_P4_P2.1.1.1","e1, e2, e3","1.93777091042167, 1.66424417020532, 0.316616618841194","e3_lowest_med_R4","R4_med","med",1
"Zdip-CIM10003_P3_P4_P4.3.1.1","e1, e2, e3","4.39745032140288, 4.54915394082972, 4.58430891997846","all_above_CI_high_R1","R1_high","high",1
"Zdip-CIM10003_P3_P5_P1.3.1.1","e1, e2, e3","1.29846359516512, 2.31357057543818, 2.97587460331507, 4.45943396838655, 4.65498485512926, 4.640405908484","e3_highest_med_R4, all_above_CI_high_R1","R4_med, R1_high","med, high",2
"Zdip-JLVTKV-719_P2_P1_P1.1.1.1","e1, e2, e3","4.1382848395379, 4.8036730355396, 4.73910236436146","all_above_CI_high_R1","R1_high","high",1
"Zdip-JLVTKV-719_P2_P1_P2.1.1.1","e1, e2, e3","3.62309353587297, 4.25534660274459, 4.23798858876205","all_above_CI_med_VT","VT_med","med",1
"Zdip-JLVTKV-719_P2_P1_P3.2.1.1","e1, e2, e3","2.92827983971766, 3.24357225184118, 2.99617462991014, 4.34722850567995, 4.49132731017392, 4.74200144922496","all_below_CI_med_VT, all_above_CI_high_R1","VT_med, R1_high","med, high",2
"Zdip-JLVTKV-719_P2_P2_P1.1.1.1","e1, e2, e3","4.11217648048259, 4.06476548196709, 3.64349876826682","e3_lowest_med_VT","VT_med","med",1
"Zdip-JLVTKV-719_P2_P2_P2.5.1.1","e1, e2, e3","0.24271363216381, 0.870967364684625, 3.30735974091644","e3_highest_med_R4","R4_med","med",1
"Zdip-JLVTKV-719_P2_P2_P3.1.1.1","e1, e2, e3","3.10565505763462, 3.47315133349543, 2.00245079865402, 4.31625097473852, 4.57023641989266, 3.72117754766444","e3_lowest_med_R4, e3_lowest_high_R1","R4_med, R1_high","med, high",2
"Zdip-JLVTKV-719_P2_P2_P4.4.1.1","e1, e2, e3","4.58285279492897, 4.11885925660807, 3.7806559598438","all_above_CI_med_VT, e3_lowest_med_VT","VT_med","med",2
"Zdip-JLVTKV-719_P2_P3_P1.3.1.1","e1, e2, e3","4.51944190071156, 4.7831232580278, 4.34881843722255","all_above_CI_high_R1","R1_high","high",1
"Zdip-JLVTKV-719_P2_P3_P2.3.1.1","e1, e2, e3","3.65001340777081, 3.6061917725123, 3.33727670533217","e3_lowest_med_R1","R1_med","med",1
"Zdip-JLVTKV-719_P2_P4_P1.2.1.1","e1, e2, e3","4.26393143923672, 4.36698489924771, 5.0000904436587","all_above_CI_high_R1, e3_highest_high_R1","R1_high","high",2
"Zdip-JLVTKV-719_P2_P4_P2.1.1.1","e1, e2, e3","4.19825402966839, 4.51015044315571, 4.08524211976233","all_above_CI_med_VT","VT_med","med",1
"Zdip-JLVTKV-719_P2_P4_P3.2.1.1","e1, e2, e3","4.12501305890605, 4.48694755756802, 4.6804820036608","all_above_CI_high_R1","R1_high","high",1
"Zdip-JLVTKV-719_P2_P4_P4.3.1.1","e1, e2, e3","3.84791763499531, 4.20200464834907, 3.87289156422078","all_above_CI_med_VT","VT_med","med",1
"Zdip-JLVTKV-719_P2_P5_P1.1.1.1","e1, e2, e3","1.06478640618085, 1.22533362133733, -1.90506866726626","all_below_CI_high_VT, e3_lowest_high_VT","VT_high","high",2
"Zdip-JLVTKV-719_P2_P5_P3.1.1.1","e1, e2, e3","4.49586129383193, 4.35135071486692, 4.51223981602313","all_above_CI_high_R1","R1_high","high",1
"Zdip-JLVTKV-719_P2_P5_P5.1.1.1","e1, e2, e3","2.10705340284282, 2.42624756121302, -0.190295839650874","e3_lowest_med_R4","R4_med","med",1
"Zdip-JLVTKV-720_P1_P1_P1.1.1.1","e1, e2, e3","3.40395953138824, 3.32165449089372, 4.40057705896571","e3_highest_high_R4","R4_high","high",1
"Zdip-JLVTKV-720_P1_P1_P2.1.1.1","e1, e2, e3","2.64013552300707, 2.8347744453487, 2.9931986884714, 0.211579434031492, 1.09436213822903, 0.163851877398865, 3.13965528621376, 3.46330061767678, 2.96466795784411","all_below_CI_med_VT, all_below_CI_med_R4, all_below_CI_high_R1","VT_med, R4_med, R1_high","med, high",3
"Zdip-JLVTKV-720_P1_P3_P2.1.1.1","e1, e2, e3","3.61837692314518, 3.87437700415945, 3.62864467842518, 3.81451059557639, 4.07127001679895, 3.72970759582618","all_above_CI_med_R1, all_below_CI_high_VT","R1_med, VT_high","med, high",2
"Zdip-JLVTKV-720_P1_P4_P2.2.1.1","e1, e2, e3","3.70579059246201, 3.90725991886518, 3.98233657361035, 3.74630359578614, 3.82177469163136, 3.40786579177762, 3.3138722884944, 3.52987409742348, 3.41158210697207","all_above_CI_med_R1, all_above_CI_med_R4, e3_lowest_med_R4, all_below_CI_high_R1","R1_med, R4_med, R1_high","med, high",4
"Zdip-JLVTKV-720_P1_P4_P3.1.1.1","e1, e2, e3","3.39933352255649, 2.89191848531175, 2.54749487973236, 4.32667809062431, 4.48305775176641, 4.84917236484269","e3_lowest_med_R4, all_above_CI_high_R1","R4_med, R1_high","med, high",2
"Zdip-JLVTKV-720_P1_P4_P4.1.1.1","e1, e2, e3","2.98708914345861, 3.89840389946175, 3.8649890965692","all_above_CI_med_R4","R4_med","med",1
"Zdip-JLVTKV-720_P1_P5_P2.1.1.1","e1, e2, e3","3.22471495823827, 3.71326670121082, 3.62240202118121","all_above_CI_med_R4","R4_med","med",1
"Zdip-JLVTKV-720_P1_P5_P3.1.1.1","e1, e2, e3","4.51604663367486, 4.2963412398396, 3.89416847955914, 4.17648351440248, 4.02692070177122, 3.54672951229024, 4.06387701500672, 4.64734726070931, 4.40531408854732","all_above_CI_med_VT, e3_lowest_med_VT, all_above_CI_med_R1, e3_lowest_med_R1, all_above_CI_high_R1","VT_med, R1_med, R1_high","med, high",5
"Zdip-JLVTKV-720_P1_P5_P4.2.1.1","e1, e2, e3","3.65014036267234, 3.87492010753936, 3.370205936203, 2.37466939119754, 2.77882361218486, 1.77562413639123","e3_lowest_med_VT, e3_lowest_med_R4","VT_med, R4_med","med",2
"Zdip-JSG-RMM-LCL-551_P2_P1_P2.1.1.1","e1, e2, e3","4.1193203158344, 4.42388665792464, 4.56739485324003","all_above_CI_high_R1","R1_high","high",1
"Zdip-JSG-RMM-LCL-551_P2_P2_P1.2.1.1","e1, e2, e3","3.69489730980829, 3.81601047625931, 3.42593084326236","all_above_CI_med_R1, e3_lowest_med_R1","R1_med","med",2
"Zdip-JSG-RMM-LCL-551_P2_P3_P1.2.1.1","e1, e2, e3","3.30916876165337, 3.19760130227965, 2.37747378574124","e3_lowest_med_R1","R1_med","med",1
"Zdip-JSG-RMM-LCL-551_P2_P4_P2.3.1.1","e1, e2, e3","3.19372688458304, 3.34359204981611, 4.01677304582875","all_above_CI_med_R4, e3_highest_med_R4","R4_med","med",2
"Zdip-JSG-RMM-LCL-551_P2_P4_P3.4.1.1","e1, e2, e3","3.7058730034761, 3.74056497587357, 3.42764074515317","e3_lowest_med_VT","VT_med","med",1
"Zdip-JSG-RMM-LCL-551_P3_P1_P3.1.1.1","e1, e2, e3","2.65516390165299, 3.37566443224754, 1.8029545675842, 4.32889450560505, 4.31717155488874, 4.61421404238877","e3_lowest_med_R1, all_above_CI_high_R1","R1_med, R1_high","med, high",2
"Zdip-JSG-RMM-LCL-551_P3_P2_P1.2.1.1","e1, e2, e3","3.18530457113174, 3.73105109084636, 3.43355649195822, 4.45203825151503, 4.3993084782262, 4.08115285010315","all_above_CI_med_R4, e3_lowest_high_R1","R4_med, R1_high","med, high",2
"Zdip-JSG-RMM-LCL-551_P3_P2_P2.3.1.1","e1, e2, e3","4.79266695407603, 4.64248429858064, 4.45762617370916","all_above_CI_high_R1","R1_high","high",1
"Zdip-JSG-RMM-LCL-551_P3_P2_P3.2.1.1","e1, e2, e3","3.84296408506978, 4.04144275990635, 3.92458612562946, 3.67284304143333, 3.0379741260762, 2.46259813468735, 3.84494152389875, 4.16426348231055, 4.98490074256264","all_above_CI_med_VT, e3_lowest_med_R1, e3_highest_high_R4","VT_med, R1_med, R4_high","med, high",3
"Zdip-JSG-RMM-LCL-551_P3_P3_P1.1.1.1","e1, e2, e3","2.63808798387958, 2.98683944624742, 2.7836004416092","all_below_CI_med_VT","VT_med","med",1
"Zdip-JSG-RMM-LCL-551_P3_P3_P3.1.1.1","e1, e2, e3","4.0778009712372, 4.42940717732186, 4.4118172918751","all_above_CI_high_R1","R1_high","high",1
"Zdip-JSG-RMM-LCL-551_P3_P4_P3.1.1.1","e1, e2, e3","3.5235212014777, 3.9397489508417, 3.91856995482952","all_above_CI_med_VT","VT_med","med",1
"Zdip-JSG-RMM-LCL-551_P3_P5_P3.1.1.1","e1, e2, e3","3.30250169411338, 3.43422604814586, 2.9613509022238, 2.97929683428398, 2.9723128711326, 2.69705957799139","e3_lowest_med_VT, e3_lowest_med_R4","VT_med, R4_med","med",2
